LargestPropertyUseType,Neighborhood,PrimaryPropertyType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,LargestPropertyUseTypeGFA,PropertyGFATotal,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,YearBuilt,SiteEnergyUse(kBtu),TotalGHGEmissions
Office,GREATER DUWAMISH,Small and Mid-Sized Office,Other,None,25765.0,54765,25000.0,0.0,,47.53827,-122.28406,1.0,1,54765,0,1958,4253369.5,61.21
Other - Lodging/Residential,GREATER DUWAMISH,Other,Office,Food Service,46483.0,89821,37938.0,4579.0,,47.53722,-122.284,1.0,5,89821,0,2009,1950092.5,100.46
College/University,MAGNOLIA / QUEEN ANNE,University,None,None,52611.0,52611,0.0,0.0,,47.65147,-122.36122,1.0,2,52611,0,1980,4116871.5,104.26
Residence Hall/Dormitory,MAGNOLIA / QUEEN ANNE,Residence Hall,None,None,135520.0,139600,0.0,0.0,89.0,47.65068,-122.36331,1.0,4,102100,37500,2001,4448582.5,129.39
K-12 School,NORTH,K-12 School,Parking,None,238550.0,236758,0.0,0.0,96.0,47.70763,-122.29453,1.0,2,236758,0,2011,8355988.5,222.78
Other,CENTRAL,Other,Courthouse,None,137565.0,250981,78357.0,0.0,,47.60462,-122.31549,3.0,6,250981,0,1971,13071700.0,422.39
K-12 School,NORTHWEST,K-12 School,None,None,62526.0,62526,0.0,0.0,96.0,47.68725,-122.35996,1.0,3,62526,0,2002,1986094.875,54.07
Other,DOWNTOWN,Other,None,None,250000.0,299070,0.0,0.0,,47.61598,-122.33448,1.0,11,230638,68432,2004,65336980.0,2055.82
Office,GREATER DUWAMISH,Small and Mid-Sized Office,Non-Refrigerated Warehouse,Other - Services,30000.0,64015,15000.0,9015.0,21.0,47.536,-122.31768,1.0,3,64015,0,2007,3242077.75,49.58
Retail Store,NORTH,Retail Store,Restaurant,None,505103.0,530039,24936.0,0.0,98.0,47.70759,-122.3255,1.0,1,530039,0,1951,27717034.0,723.47
Other/Specialty Hospital,NORTH,Other,None,None,47012.0,54224,0.0,0.0,,47.7066,-122.321,1.0,3,54224,0,1964,7265178.0,231.53
Retail Store,NORTH,Retail Store,None,None,122000.0,124342,0.0,0.0,76.0,47.70619,-122.32586,1.0,4,124342,0,1965,8765978.0,66.3
Hospital (General Medical & Surgical),NORTHEAST,Hospital,None,None,879000.0,879000,0.0,0.0,10.0,47.66231,-122.28146,6.0,10,879000,0,1953,253832464.0,8145.52
Financial Office,NORTHWEST,Other,Parking,Medical Office,28636.0,55442,15385.0,8644.0,72.0,47.70956,-122.3345,1.0,3,55442,0,1996,3191228.25,83.7
K-12 School,BALLARD,K-12 School,None,None,242795.0,242795,0.0,0.0,80.0,47.67661,-122.37489,1.0,2,242795,0,1999,9157150.0,123.71
Self-Storage Facility,EAST,Self-Storage Facility,None,None,85521.0,84870,0.0,0.0,,47.61233,-122.3171,1.0,5,84870,0,1910,1381590.125,51.11
College/University,NORTHWEST,University,None,None,667335.0,694072,0.0,0.0,,47.69936,-122.33401,11.0,2,582447,111625,1970,35891484.0,362.82
K-12 School,SOUTHEAST,K-12 School,None,None,173185.0,173185,0.0,0.0,79.0,47.54632,-122.28198,1.0,2,173185,0,1952,6127771.5,242.36
K-12 School,DELRIDGE,K-12 School,None,None,139069.0,145341,0.0,0.0,75.0,47.54862,-122.36214,1.0,1,145341,0,1963,5499097.0,206.01
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,114297.0,114297,0.0,0.0,61.0,47.55152,-122.31869,1.0,4,114297,0,1904,2100097.75,69.44
K-12 School,SOUTHEAST,K-12 School,None,None,184125.0,184125,0.0,0.0,86.0,47.52407,-122.26586,1.0,2,184125,0,1960,8800292.0,328.97
K-12 School,BALLARD,K-12 School,None,None,160270.0,160270,0.0,0.0,,47.69675,-122.3776,1.0,1,160270,0,1959,0.0,229.38
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,None,None,234144.0,234144,0.0,0.0,87.0,47.55901,-122.33328,1.0,1,234144,0,1937,6744317.0,297.43
Retail Store,DELRIDGE,Retail Store,None,None,65425.0,64984,0.0,0.0,72.0,47.52254,-122.36627,1.0,1,64984,0,1966,2944296.25,35.78
Retail Store,DELRIDGE,Retail Store,None,None,67782.0,67745,0.0,0.0,37.0,47.52254,-122.36627,1.0,1,67745,0,1965,9230223.0,369.14
K-12 School,DELRIDGE,K-12 School,None,None,367884.0,367884,0.0,0.0,97.0,47.52915,-122.36511,1.0,2,367884,0,2010,12265516.0,272.85
K-12 School,DELRIDGE,K-12 School,None,None,46797.0,46797,0.0,0.0,86.0,47.51778,-122.37074,1.0,1,46797,0,1958,2075891.0,73.47
K-12 School,CENTRAL,K-12 School,None,None,136188.0,136188,0.0,0.0,,47.59796,-122.30415,1.0,3,136188,0,1963,0.0,170.9
Other,BALLARD,Other,None,None,56000.0,56000,0.0,0.0,,47.67767,-122.39631,1.0,3,56000,0,1973,1851260.5,59.34
K-12 School,SOUTHEAST,K-12 School,None,None,67371.0,67371,0.0,0.0,92.0,47.54174,-122.27691,1.0,2,67371,0,2004,2128459.0,46.36
Self-Storage Facility,SOUTHWEST,Self-Storage Facility,None,None,52088.0,52088,0.0,0.0,,47.54508,-122.37737,1.0,2,52088,0,1969,1377519.5,48.99
K-12 School,LAKE UNION,K-12 School,None,None,127776.0,127776,0.0,0.0,75.0,47.65708,-122.33803,1.0,3,127776,0,2010,4748137.0,80.08
Hotel,LAKE UNION,Hotel,Parking,Swimming Pool,123920.0,123920,30000.0,0.0,79.0,47.62972,-122.32906,1.0,5,93920,30000,1998,9373179.0,309.6
Museum,LAKE UNION,Other,None,None,43000.0,50000,0.0,0.0,,47.62759,-122.33661,1.0,1,50000,0,1900,7548807.0,225.69
Non-Refrigerated Warehouse,MAGNOLIA / QUEEN ANNE,Warehouse,Residence Hall/Dormitory,Office,42345.0,50292,5000.0,4730.0,,47.62591,-122.34084,1.0,2,50292,0,1926,430473.6875,3.0
Hotel,MAGNOLIA / QUEEN ANNE,Hotel,None,None,141591.0,207656,0.0,0.0,76.0,47.62782,-122.34045,1.0,7,153315,54341,1998,11171988.0,338.16
K-12 School,BALLARD,K-12 School,None,None,67235.0,67235,0.0,0.0,89.0,47.68359,-122.37308,1.0,2,67235,0,1999,2284133.75,49.12
Office,NORTHWEST,Small and Mid-Sized Office,Distribution Center,Parking,57968.0,91130,32881.0,11850.0,,47.70044,-122.34136,1.0,2,91130,0,1957,9472358.0,175.77
K-12 School,SOUTHWEST,K-12 School,None,None,59014.0,58118,0.0,0.0,97.0,47.54025,-122.3885,1.0,3,58118,0,1991,1407277.25,21.29
Hotel,NORTHWEST,Hotel,None,None,64893.0,64893,0.0,0.0,70.0,47.70916,-122.33216,1.0,4,64893,0,1968,6197825.0,208.26
K-12 School,NORTH,K-12 School,None,None,55480.0,52792,0.0,0.0,,47.69823,-122.32126,1.0,2,52792,0,1989,0.0,0.0
K-12 School,GREATER DUWAMISH,K-12 School,None,None,70762.0,70762,0.0,0.0,87.0,47.53809,-122.29591,1.0,1,70762,0,1925,3606416.0,168.88
Office,DOWNTOWN,Small and Mid-Sized Office,Self-Storage Facility,Restaurant,34416.0,44558,7672.0,2470.0,78.0,47.60105,-122.33518,1.0,3,44558,0,1900,1677002.25,28.27
Other - Entertainment/Public Assembly,GREATER DUWAMISH,Other,Parking,None,1585960.0,1585960,0.0,0.0,,47.59544,-122.33159,1.0,6,1258280,327680,1999,59757440.0,892.63
Distribution Center,GREATER DUWAMISH,Distribution Center,Office,Other,117476.0,179161,37321.0,25543.0,,47.57199,-122.32811,1.0,2,179161,0,1924,9436408.0,96.43
Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Other - Services,Office,40831.0,58640,16735.0,11533.0,,47.57199,-122.32811,1.0,2,58640,0,1965,3928695.25,27.39
Other - Entertainment/Public Assembly,GREATER DUWAMISH,Other,None,None,1172127.0,1172127,0.0,0.0,,47.59085,-122.33354,1.0,3,1172127,0,1999,58761304.0,1246.55
Hotel,GREATER DUWAMISH,Hotel,Parking,Food Service,135006.0,168449,20600.0,9216.0,64.0,47.59269,-122.33372,1.0,9,153882,14567,2005,12726789.0,388.37
K-12 School,LAKE UNION,K-12 School,None,None,241066.0,241066,0.0,0.0,79.0,47.65996,-122.33962,1.0,4,241066,0,1997,7791957.0,270.97
Office,GREATER DUWAMISH,Large Office,Laboratory,Other - Utility,240984.0,334368,72963.0,16766.0,,47.52429,-122.31234,14.0,2,302494,31874,1980,53466684.0,748.55
Parking,NORTH,Other,Movie Theater,Medical Office,335109.0,419848,65000.0,13567.0,,47.70281,-122.32532,1.0,6,84739,335109,2008,9134963.0,162.41
